TIEJAKSO_ID;TIENUMERO;TIEJAKSO;TIEJAKSO_VERSIO;SELITE1;SELITE2;TIE;AOSA;AET;LOSA;LET;PITUUS
00062_001_000_0;62;1;0;Kt 62;Mikkeli - Anttola;62;1;0;5;2160;23913
00062_006_000_0;62;6;0;Kt 62;Anttola - Puumala;62;6;0;14;7281;46241
00062_015_000_0;62;15;0;Kt 62;Puumala - Imatra;62;15;0;23;4811;51115
00066_001_000_0;66;1;0;Kt 66;Orivesi - Ruovesi;66;1;0;7;5977;29317
00066_008_000_0;66;8;0;Kt 66;Ruovesi - Virrat;66;8;0;14;1072;40022
00066_015_000_0;66;15;0;Kt 66;Virrat - Alavus;66;15;0;21;5400;34564
00066_021_000_0;66;21;0;Kt 66;Alavus - Kuortane;66;21;5400;31;2748;33439
00066_032_000_0;66;32;0;Kt 66;Kuortane - Lapua;66;32;0;41;2321;33421
00067_001_000_0;67;1;0;Kt 67;Kaskinen - Valtatie 8;67;1;0;3;3027;12611
00067_004_000_0;67;4;0;Kt 67;Valtatie 8 - Teuva;67;4;0;8;2595;19617
00067_009_000_0;67;9;0;Kt 67;Teuva - Kauhajoki;67;9;0;13;4741;24735
00067_014_000_0;67;14;0;Kt 67;Kauhajoki - Kurikka;67;14;0;18;1223;23172
00067_019_000_0;67;19;0;Kt 67;Kurikka - Seinäjoki;67;19;0;24;4392;26725
00078_101_000_0;78;101;0;Kt 78;Paltamo - Törmänmäki;78;101;0;103;9905;20258
00078_105_000_0;78;105;0;Kt 78;Törmänmäki - Puolanka;78;105;0;112;3391;42948
00078_113_000_0;78;113;0;Kt 78;Puolanka - Jaurakkajärvi;78;113;0;118;6401;36064
00078_119_000_0;78;119;0;Kt 78;Jaurakkajärvi - Pudasjärvi;78;119;0;124;3270;32495
00078_201_000_0;78;201;0;Kt 78;Pudasjärvi - maakuntaraja;78;201;0;209;4470;44995
00078_210_000_0;78;210;0;Kt 78;maakuntaraja - Ranua;78;210;0;212;9522;26304
00078_213_000_0;78;213;0;Kt 78;Ranua - Siika-Kämän th;78;213;0;218;2389;37342
00078_219_000_0;78;219;0;Kt 78;Siika-Kämän th - Rovaniemi;78;219;0;224;4328;43653
00079_001_000_0;79;1;0;Kt 79;Rovaniemi - Sinettä;79;1;0;4;8661;20732
00079_005_000_0;79;5;0;Kt 79;Sinettä - Lohiniva;79;5;0;18;5390;71249
00079_019_000_0;79;19;0;Kt 79;Lohiniva - Kittilä;79;19;0;30;2758;57568
00079_031_000_0;79;31;0;Kt 79;Kittilä - Levi;79;31;0;34;6178;20632
00079_035_000_0;79;35;0;Kt 79;Levi - Särkijärvi;79;35;0;43;4321;48265
00079_044_000_0;79;44;0;Kt 79;Särkijärvi - Muonio;79;44;0;45;6146;11454
00081_001_000_0;81;1;0;Kt 81;Rovaniemi - Vanttauskoski;81;1;0;9;6608;49518
00081_010_000_0;81;10;0;Kt 81;Vanttauskoski- Pernu;81;10;0;19;3750;49446
00081_020_000_0;81;20;0;Kt 81;Pernu - Posio;81;20;0;24;5729;31844
00081_025_000_0;81;25;0;Kt 81;Posio- Soidinkumpu;81;25;0;33;4966;49158
00082_001_000_0;82;1;0;Kt 82;Vikajärvi - Kemijärvi;82;1;0;9;8117;56562
00101_001_000_0;101;1;0;St 101;Länsiväylä - Hämeenlinnanväylä;101;1;0;5;2162;11673
00101_006_000_0;101;6;0;St 101;Hämeenlinnanväylä - Itäkeskus;101;6;0;8;4252;12378
