NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;NIMI_SE;NIMI_EN;TIE;TIEOSA;ETAISYYS;X;Y;KORKEUS;MAAKUNNAN_NIMI
23550;550;L_vt7_Vaahterikonsuo;Tie 7 Virolahti, Vaahterikonsuo;Väg 7 Vederlax, Vaahterikonsuo;Road 7 Virolahti, Vaahterikonsuo;7;39;4710;6716966;539365;0;Kymenlaakso
23540;540;L_vt7_Virojoki;Tie 7 Virolahti, Virojoki;Väg 7 Vederlax, Virojoki;Road 7 Virolahti, Virojoki;7;41;447;6716981;539305;0;Kymenlaakso
23542;542;L_vt7_Turkkisuo;Tie 7 Virolahti, Turkkisuo;Väg 7 Vederlax, Turkkisuo;Road 7 Virolahti, Turkkisuo;7;41;3533;6717791;542246;0;Kymenlaakso
23541;541;L_vt7_Mestarmäki;Tie 7 Virolahti, Mestarmäki;Väg 7 Vederlax, Mestarmäki;Road 7 Virolahti, Mestarmäki;7;41;5998;6718497;544549;0;Kymenlaakso
23581;581;L_vt7_Vaalimaa;Tie 7 Virolahti, Vaalimaa;Väg 7 Vederlax, Vaalimaa;Road 7 Virolahti, Vaalimaa;7;42;2500;6719009;547491;0;Kymenlaakso
23598;598;L_vt7_Vaalimaa_rask;Tie 7 Virolahti, Vaalimaa, raskas;Väg 7 Vederlax, Vaalimaa;Road 7 Virolahti, Vaalimaa;7;42;2510;6719229;547610;0;Kymenlaakso
23502;502;L_vt12_Iitti;Tie 12 Iitti;Väg 12 Itis;Road 12 Iitti;12;228;1257;6753462;455414;0;Kymenlaakso
23590;590;L_vt12_Tillola;Tie 12 Iitti, Tillola;Väg 12 Tillola;Road 12 Iitti, Tillola;12;231;1078;6749564;469096;0;Kymenlaakso
23586;586;L_vt15_Kotkansaari;Tie 15 Kotka, Kotkansaari;Väg 15 Kotka, Kotkansaari;Road 15 Kotka, Kotkansaari;15;1;1769;6703120;495754;0;Kymenlaakso
23530;530;L_vt15_Juurikorpi;Tie 15 Juurikorpi;Väg 15 Juurikorpi;Road 15 Juurikorpi;15;3;2985;6720959;495822;0;Kymenlaakso
