TSA_NUMBER;LAM_STATION_ID;TSA_NAME;NAME_FI;NAME_SE;NAME_EN;ROAD;ROAD_PART;ROAD_DISTANCE;TSA_LOC_KKJ_Y,TSA_LOC_KKJ_X,TSA_ALTITUDE,REGION_NAME_FI,LOC_ETRS89_LAT,LOC_ETRS89_LON
23197;197;L_st100_Kivihaan_tunneli;"Tie 100, Hakamäen tunneli";"Väg 100, Hakamäen tunneli";"Rod 100, Hakamäen tunneli";100;1;770;6679259;3384190;0;Uusimaa;60.2084;24.9081
23118;118;L_st101_Keilaniemi;"Tie 101 Keilaniemi";"Väg 101 Kägeludden";"Road 101 Keilaniemi";101;1;278;6675453;3379501;0;Uusimaa;60.1729;24.8259
23116;116;L_st101_Leppävaara;"Tie 101 Leppävaara";"Väg 101 Alberga";"Road 101 Leppävaara";101;3;490;6679967;3379063;0;Uusimaa;60.2133;24.8153
23126;126;L_st101_Konala;"Tie 101 Konala";"Väg 101 Kånala";"Road 101 Konala";101;4;2045;6681634;3380696;0;Uusimaa;60.2287;24.8438
23145;145;L_st101_Kannelmäki;"Tie 101 Kannelmäki";"Väg 101 Gamlas";"Road 101 Kannelmäki";101;5;1000;6682200;3382573;0;Uusimaa;60.2343;24.8773
23146;146;L_st101_Länsi-Pakila;"Tie 101 Länsi-Pakila";"Väg 101 Västra Baggböle";"Road 101 Länsi-Pakila";101;6;700;6682524;3384048;0;Uusimaa;60.2376;24.9037
23147;147;L_st101_Pakila;"Tie 101 Pakila";"Väg 101 Baggböle";"Road 101 Pakila";101;6;2600;6683061;3386131;0;Uusimaa;60.243;24.941
23148;148;L_st101_Pukinmäki;"Tie 101 Pukinmäki";"Väg 101 Bocksbacka";"Road 101 Pukinmäki";101;7;1800;6683200;3388061;0;Uusimaa;60.2448;24.9757
23149;149;L_st101_Malmi;"Tie 101 Malmi";"Väg 101 Malm";"Road 101 Malmi";101;7;4000;6682892;3390311;0;Uusimaa;60.2427;25.0165
23162;162;L_st102_Olarinluoma;"Tie 102 Olarinluoma";"Väg 102 Olarsbäcken";"Road 102 Olarinluoma";102;1;1331;6675976;3375365;0;Uusimaa;60.1763;24.7511
23163;163;L_st102_Kokinkylä;"Tie 102 Kokinkylä";"Väg 102 Kockby";"Road 102 Kokinkylä";102;2;1071;6677786;3375145;0;Uusimaa;60.1925;24.746
23195;195;L_st103_Satamatie;"Tie 103, Satamatie";"Väg 103, Satamatie";" Road 103, Satamatie";103;1;2160;6682495;3397906;0;Uusimaa;60.2411;25.1537
23105;105;L_st110_Hiidenvesi;"Tie 110 Hiidenvesi";"Väg 110 Hiidenvesi";"Road 110 Hiidenvesi";110;14;2530;6698936;3342150;0;Uusimaa;60.3706;24.1354
23151;151;L_st120_Pitäjänmäki;"Tie 120 Pitäjänmäki";"Väg 120 Sockenbacka";"Road 120 Pitäjänmäki";120;2;250;6680982;3382527;0;Uusimaa;60.2234;24.8772
23123;123;L_st120_Pähkinärinne;"Tie 120 Pähkinärinne";"Väg 120 Hasselbacken";"Road 120 Pähkinärinne";120;3;2580;6684221;3379958;0;Uusimaa;60.2517;24.8289
23138;138;L_st120_Odilampi;"Tie 120 Odilampi";"Väg 120 Odilampi";"Road 120 Odilampi";120;4;5000;6690145;3375463;0;Uusimaa;60.3034;24.7441
23136;136;L_st140_Arola;"Tie 140 Arola";"Väg 140 Arola";"Road 140 Arola";140;9;4240;6716335;3400932;0;Uusimaa;60.5454;25.1916
23155;155;L_st170_Kulosaari;"Tie 170 Kulosaari";"Väg 170 Brändö";"Road 170 Kulosaari";170;1;1400;6677221;3388948;0;Uusimaa;60.1914;24.995
23135;135;L_st170_Ilola;"Tie 170 Ilola";"Väg 170 Illby";"Road 170 Ilola";170;12;4360;6704759;3431085;0;Uusimaa;60.4478;25.7449
23158;158;L_st170_Hagaböle;"Tie 170 Hagaböle";"Väg 170 Hagaböle";"Road 170 Hagaböle";170;16;3330;6708806;3444751;0;Uusimaa;60.4862;25.992
23121;121;L_yt11888_Liljendal2;"Tie 11888 Liljendal";"Väg 11888 Liljendal";"Road 11888 Liljendal";11888;2;2388;6715986;3446622;0;Uusimaa;60.5509;26.0241
23196;196;L_Niinisaarentie;"Helsinki, Niinisaarentie";"Helsingfors, Niinisaarentie";"Helsinki, Niinisaarentie";40946;3;590;6680210;3398147;0;Uusimaa;60.2206;25.1592
23199;199;L_Olari;"Merituulentie, Espoo";"Havsvindsvägen, Esbo";"Merituulentie, Espoo";99999;1;1199;6675338;3376441;0;Uusimaa;60.1709;24.7709
24604;1604;L_vt1_Lahnajärvi;"Tie 1 Lahnajärvi";"Väg 1 Lahnajärvi";"Road 1 Lahnajärvi";1;17;2205;6700612;3319594;0;Varsinais-Suomi;60.3762;23.7257
24603;1603;L_vt1_Syvälampi;"Tie 1 Syvälampi";"Väg 1 Syvälampi";"Road 1 Syvälampi";1;18;4586;6701070;3314412;0;Varsinais-Suomi;60.378;23.6316
24602;1602;L_vt1_Kruusila;"Tie 1 Salo, Kruusila";"Väg 1 Salo, Kruusila";"Road 1 Salo, Kruusila";1;20;6303;6701789;3305959;0;Varsinais-Suomi;60.3805;23.4779
24601;1601;L_vt1_Lakiamäki;"Tie 1 Lakiamäki";"Väg 1 Lakiamäki";"Road 1 Lakiamäki";1;21;4143;6701163;3300369;0;Varsinais-Suomi;60.3722;23.3774
23248;248;L_vt1_Muurla;"Tie 1 Muurla";"Väg 1 Muurla";"Road 1 Muurla";1;22;1444;6702802;3296441;0;Varsinais-Suomi;60.3849;23.3047
23247;247;L_vt1_Isokylä_läntinen;"Tie 1 Isokylä";"Väg 1 Storby";"Road 1 Isokylä";1;24;958;6706670;3288117;0;Varsinais-Suomi;60.4153;23.15
23246;246;L_vt1_Halikko;"Tie 1 Halikko";"Väg 1 Halikko";"Road 1 Halikko";1;25;63;6707016;3286342;0;Varsinais-Suomi;60.4174;23.1175
23245;245;L_vt1_Hajala;"Tie 1 Hajala";"Väg 1 Hajala";"Road 1 Hajala";1;26;4392;6708781;3278242;0;Varsinais-Suomi;60.4289;22.9689
23244;244;L_vt1_Vista;"Tie 1 Vista";"Väg 1 Vista";"Road 1 Vista";1;28;3278;6709981;3263962;0;Varsinais-Suomi;60.4315;22.7089
23243;243;L_vt1_Paimionmäki;"Tie 1 Paimionmäki";"Väg 1 Paimionmäki";"Road 1 Paimionmäki";1;29;2299;6709445;3262625;0;Varsinais-Suomi;60.4259;22.6853
23242;242;L_vt1_Paimionjoki;"Tie 1 Paimionjoki";"Väg 1 Pemarån";"Road 1 Paimionjoki";1;30;1067;6709934;3261079;0;Varsinais-Suomi;60.4294;22.6567
23227;227;L_vt1_Kirismäki;"Tie 1 Piikkiö, Kirismäki";"Väg 1 Pikis, Kirismäki";"Road 1 Piikkiö, Kirismäki";1;31;4794;6712000;3253151;0;Varsinais-Suomi;60.4431;22.5107
23240;240;L_vt1_Piikkiö;"Tie 1 Piikkiö";"Väg 1 Pikis";"Road 1 Piikkiö";1;32;905;6711697;3251144;0;Varsinais-Suomi;60.4392;22.4747
23239;239;L_vt1_Kaarina;"Tie 1 Kaarina";"Väg 1 S:t Karins";"Road 1 Kaarina";1;33;2485;6710468;3247075;0;Varsinais-Suomi;60.4256;22.4026
23238;238;L_vt1_Kurkela_itäinen;"Tie 1 Kurkela I";"Väg 1 Kurkela Ö";"Road 1 Kurkela E";1;34;867;6710200;3244798;0;Varsinais-Suomi;60.4218;22.3618
23237;237;L_vt1_Kurkela_läntinen;"Tie 1 Kurkela L";"Väg 1 Kurkela V";"Road 1 Kurkela W";1;35;812;6710540;3243347;0;Varsinais-Suomi;60.4239;22.3351
23236;236;L_vt1_Huhkola;"Tie 1 Huhkola";"Väg 1 Huhkola";"Road 1 Huhkola";1;35;1413;6710791;3243012;0;Varsinais-Suomi;60.426;22.3287
23235;235;L_vt1_Kupittaa;"Tie 1 Kupittaa";"Väg 1 Kupittaa";"Road 1 Kupittaa";1;36;1302;6713037;3241949;0;Varsinais-Suomi;60.4454;22.3065
23249;249;L_vt8_Ihala;"Tie 8 Ihala";"Väg 8 Ihala";"Road 8 Ihala";8;102;5700;6716963;3235599;0;Varsinais-Suomi;60.4764;22.1864
23205;205;L_vt8_Raisio;"Tie 8 Raisio";"Väg 8 Reso";"Road 8 Raisio";8;103;1870;6719129;3234613;0;Varsinais-Suomi;60.4951;22.1656
23250;250;L_vt8_Masku;"Tie 8 Masku";"Väg 8 Masko";"Road 8 Masku";8;105;1512;6729245;3231181;0;Varsinais-Suomi;60.5833;22.0897
23206;206;L_vt8_Pyhäranta;"Tie 8 Pyhäranta";"Väg 8 Pyhäranta";"Road 8 Pyhäranta";8;114;3265;6776119;3207099;0;Varsinais-Suomi;60.9853;21.5818
23208;208;L_vt9_Aura;"Tie 9 Aura";"Väg 9 Aura";"Road 9 Aura";9;105;2993;6728888;3251991;0;Varsinais-Suomi;60.5935;22.4686
23253;253;L_vt10_Satiaismäki;"Tie 10 Lieto, Satiaismäki";"Väg 10 Lundo, Satiaismäki";"Road 10 Lieto, Satiaismäki";10;2;649;6716231;3245581;0;Varsinais-Suomi;60.4763;22.3682
23230;230;L_vt10_Lieto;"Tie 10 Lieto";"Väg 10 Lundo";"Road 10 Lieto";10;2;4686;6718243;3249004;0;Varsinais-Suomi;60.4964;22.4277
23209;209;L_vt10_Marttila;"Tie 10 Marttila";"Väg 10 S:t Mårtens";"Road 10 Marttila";10;7;4084;6729822;3277017;0;Varsinais-Suomi;60.6166;22.923
23231;231;L_kt40_Vanto;"Tie 40 Raisio, Vanto";"Väg 40 Reso, Vanto";"Road 40 Raisio, Vanto";40;1;3657;6716566;3230008;0;Varsinais-Suomi;60.4691;22.0856
23251;251;L_kt40_Krookila;"Tie 40 Raisio, Krookila";"Väg 40 Reso, Krookila";"Road 40 Raisio, Krookila";40;2;2039;6716510;3233239;0;Varsinais-Suomi;60.4708;22.1442
23233;233;L_kt40_Hauninen;"Tie 40 Raisio, Hauninen";"Väg 40 Reso, Hauninen";"Road 40 Raisio, Hauninen";40;3;2525;6718617;3237607;0;Varsinais-Suomi;60.4925;22.2206
23234;234;L_kt40_Oriketo;"Tie 40 Turku, Oriketo";"Väg 40 Åbo, Oriketo";"Road 40 Turku, Oriketo";40;4;1992;6717558;3242742;0;Varsinais-Suomi;60.4863;22.3151
23229;229;L_kt40_Tuulissuo;"Tie 40 Tuulisuo";"Väg 40 Tuulisuo";"Road 40 Tuulisuo";40;5;5682;6714341;3248391;0;Varsinais-Suomi;60.4611;22.4215
23201;201;L_st110_Muurla1;"Tie 110 Muurla";"Väg 110 Muurla";"Road 110 Muurla";110;23;3240;6700710;3299172;0;Varsinais-Suomi;60.3675;23.3562
